Number of declaration,Gender,Year,First name
7.0,M,2013,George
11.0,F,2013,Hanaé
5.0,M,2013,Hedi
30.0,M,2013,Henri
13.0,M,2013,Ilyan
5.0,F,2013,India
28.0,F,2013,Isaure
6.0,M,2013,Jean-Baptiste
6.0,M,2013,Jude
6.0,F,2013,Kawtar
7.0,M,2013,Kenny
20.0,M,2013,Kylian
23.0,F,2013,Lana
15.0,F,2013,Lara
11.0,M,2013,Lassana
43.0,F,2013,Laura
5.0,F,2013,Layanah
46.0,F,2013,Lila
29.0,F,2013,Lise
346.0,F,2013,Louise
12.0,F,2013,Lya
17.0,M,2013,Malik
37.0,M,2013,Malo
91.0,F,2013,Margaux
22.0,M,2013,Marin
75.0,M,2013,Maxence
9.0,F,2013,Maxime
10.0,F,2013,Melissa
7.0,M,2013,Menahem
7.0,F,2013,Michelle
9.0,M,2013,Mouhamadou
5.0,F,2013,Myla
7.0,M,2013,Mylan
9.0,F,2013,Nadine
21.0,F,2013,Nélia
7.0,F,2013,Neyla
5.0,M,2013,Nolhan
64.0,F,2013,Nour
12.0,F,2013,Paola
17.0,M,2013,Rafaël
7.0,F,2013,Rosa
21.0,M,2013,Ryan
40.0,F,2013,Sirine
15.0,F,2013,Solène
43.0,M,2013,Théodore
9.0,M,2013,Warren
12.0,M,2013,Yani
98.0,M,2013,Yanis
6.0,M,2013,Yasin
45.0,M,2014,Abel
23.0,M,2014,Adel
12.0,M,2014,Adrian
27.0,M,2014,Alban
8.0,F,2014,Alima
8.0,F,2014,Amalia
49.0,F,2014,Aminata
45.0,M,2014,Amine
5.0,F,2014,Anaelle
20.0,F,2014,Ariane
11.0,F,2014,Astrid
6.0,F,2014,Ayah
10.0,M,2014,Ayman
8.0,M,2014,Cheikh
6.0,M,2014,Cyrus
21.0,M,2014,Dylan
30.0,M,2014,Elie
13.0,F,2014,Éloïse
39.0,F,2014,Emilie
11.0,M,2014,Fares
10.0,F,2014,Félicie
5.0,M,2014,Frédéric
5.0,M,2014,Gautier
14.0,F,2014,Hafsa
22.0,F,2014,Hawa
5.0,M,2014,Hocine
20.0,M,2014,Ilian
5.0,M,2014,Islem
8.0,M,2014,Jason
24.0,M,2014,Julian
45.0,F,2014,Julie
5.0,M,2014,Kader
10.0,F,2014,Kiara
5.0,M,2014,Kiyan
12.0,F,2014,Lahna
8.0,F,2014,Lucia
18.0,M,2014,Lyam
10.0,F,2014,Lydia
11.0,F,2014,Maïwenn
8.0,M,2014,Malick
19.0,M,2014,Marco
6.0,F,2014,Marnie
5.0,F,2014,Méllina
5.0,F,2014,Milica
200.0,M,2014,Mohamed
6.0,M,2014,Mohamed-Lamine
19.0,M,2014,Ousmane
269.0,M,2014,Paul
6.0,M,2014,Pierre-Louis
7.0,F,2014,Ranya
11.0,F,2014,Safiya
15.0,M,2014,Sam
5.0,F,2014,Siham
5.0,M,2014,Taha
18.0,F,2014,Talia
20.0,M,2014,Timothé
8.0,F,2014,Tiphaine
21.0,M,2014,Titouan
5.0,F,2014,Valeria
86.0,M,2014,Yanis
5.0,M,2015,Abd
7.0,M,2015,Abdoul
33.0,M,2015,Ahmed
98.0,F,2015,Anaïs
28.0,M,2015,Anas
19.0,F,2015,Asma
14.0,F,2015,Augustine
16.0,F,2015,Carla
6.0,M,2015,Cheikh
13.0,F,2015,Dalia
10.0,M,2015,Damien
34.0,F,2015,Daphné
9.0,F,2015,Daria
18.0,F,2015,Elisabeth
24.0,M,2015,Elliot
19.0,F,2015,Estelle
15.0,F,2015,Éva
11.0,F,2015,Evy
7.0,M,2015,Gianni
8.0,F,2015,Grace
6.0,F,2015,Hadja
117.0,M,2015,Hugo
5.0,F,2015,Isabella
14.0,M,2015,Iyad
13.0,M,2015,Iyed
114.0,F,2015,Jade
23.0,M,2015,Jayden
48.0,M,2015,Kaïs
5.0,F,2015,Kheira
128.0,M,2015,Léo
74.0,M,2015,Léonard
30.0,F,2015,Liv
6.0,F,2015,Loïs
8.0,F,2015,Ludivine
5.0,F,2015,Lyah
8.0,F,2015,Lylia
5.0,M,2015,Mady
5.0,F,2015,Maëlie
8.0,F,2015,Mahault
12.0,M,2015,Mateo
31.0,M,2015,Mathias
9.0,M,2015,Matisse
7.0,M,2015,Matthew
6.0,F,2015,May
6.0,M,2015,Michel
30.0,F,2015,Noa
7.0,M,2015,Nohé
27.0,M,2015,Omar
5.0,F,2015,Ornella
133.0,M,2015,Oscar
5.0,F,2015,Romaïssa
23.0,M,2015,Roméo
104.0,M,2015,Samuel
35.0,M,2015,Samy
37.0,F,2015,Sasha
14.0,F,2015,Sienna
7.0,F,2015,Simone
58.0,F,2015,Sophia
25.0,M,2015,Timothé
7.0,F,2015,Vera
8.0,M,2015,Yannis
27.0,M,2015,Younes
5.0,M,2015,Zack
12.0,M,2015,Zadig
118.0,F,2015,Zoé
56.0,M,2016,Achille
5.0,M,2016,Adriel
8.0,F,2016,Amel
8.0,M,2016,Andréa
9.0,M,2016,Archibald
38.0,M,2016,Armand
22.0,M,2016,Aurélien
38.0,F,2016,Blanche
17.0,F,2016,Camélia
17.0,F,2016,Céline
9.0,M,2016,Constant
8.0,M,2016,Damien
11.0,M,2016,Dan
5.0,M,2016,Éden
15.0,F,2016,Emmanuelle
7.0,F,2016,Eulalie
8.0,F,2016,Ève
5.0,M,2016,Fadi
5.0,F,2016,Geneviève
5.0,M,2016,Gianni
22.0,M,2016,Grégoire
10.0,F,2016,Helena
11.0,M,2016,Ilian
45.0,M,2016,Issa
175.0,M,2016,Joseph
14.0,F,2016,Judith
91.0,F,2016,Julia
5.0,F,2016,Kadidia
38.0,M,2016,Kaïs
6.0,M,2016,Karim
42.0,F,2016,Lana
23.0,M,2016,Léandre
49.0,M,2016,Léonard
5.0,F,2016,Linda
5.0,M,2016,Loïs
25.0,M,2016,Lorenzo
8.0,F,2016,Ludivine
5.0,F,2016,Lyne
8.0,F,2016,Maïlys
9.0,M,2016,Malick
18.0,M,2016,Malik
31.0,F,2016,Maryam
15.0,M,2016,Mateo
69.0,M,2016,Mathis
7.0,M,2016,Matisse
8.0,F,2016,Mayline
26.0,F,2016,Mélissa
14.0,M,2016,Melvil
7.0,M,2016,Muhammad
6.0,M,2016,Nahyl
11.0,M,2016,Naïl
11.0,F,2016,Neïla
5.0,F,2016,Noah
65.0,F,2016,Nour
43.0,M,2016,Pierre
12.0,F,2016,Prune
5.0,F,2016,Rafaela
342.0,M,2016,Raphaël
5.0,M,2016,Ryad
164.0,F,2016,Sarah
8.0,F,2016,Sira
14.0,M,2016,Soan
7.0,F,2016,Tal
19.0,M,2016,Timothé
41.0,M,2016,Tristan
11.0,M,2016,Viktor
5.0,M,2016,Yacoub
5.0,M,2016,Zéphyr
5.0,M,2017,Adonis
72.0,M,2017,Adrien
50.0,F,2017,Aïcha
6.0,F,2017,Alana
19.0,F,2017,Aliyah
7.0,F,2017,Alyah
21.0,M,2017,Ambroise
22.0,F,2017,Amira
17.0,F,2017,Anaëlle
7.0,M,2017,Andy
6.0,F,2017,Armance
161.0,M,2017,Augustin
26.0,F,2017,Awa
27.0,M,2017,Aymen
19.0,M,2017,Balthazar
20.0,F,2017,Billie
16.0,F,2017,Charline
11.0,M,2017,Cheikh
9.0,F,2017,Dahlia
18.0,F,2017,Eléa
45.0,F,2017,Elisa
11.0,M,2017,Elyes
46.0,M,2017,Ernest
10.0,F,2017,Ethel
101.0,F,2017,Eva
30.0,M,2017,Hadrien
7.0,M,2017,Haron
5.0,F,2017,Helena
39.0,M,2017,Issa
28.0,M,2017,Jayden
6.0,M,2017,Jérémie
9.0,F,2017,Joyce
22.0,M,2017,Julien
6.0,F,2017,Laure
5.0,F,2017,Laurine
5.0,M,2017,Lazar
7.0,F,2017,Liya
22.0,M,2017,Luka
64.0,F,2017,Madeleine
17.0,F,2017,Mahaut
20.0,M,2017,Malik
8.0,M,2017,Marcello
105.0,F,2017,Margaux
55.0,F,2017,Mariam
9.0,F,2017,Marion
20.0,M,2017,Mathias
20.0,M,2017,Matthieu
5.0,F,2017,Nana
28.0,M,2017,Nassim
5.0,M,2017,Nayel
7.0,F,2017,Nelia
5.0,F,2017,Nicole
5.0,F,2017,Nourane
14.0,M,2017,Raphael
12.0,F,2017,Salimata
5.0,M,2017,Sidney
13.0,M,2017,Soren
25.0,M,2017,Souleymane
32.0,F,2017,Thelma
64.0,M,2017,Ulysse
20.0,F,2017,Violette
13.0,M,2017,Wael
19.0,M,2017,Yann
10.0,M,2017,Zakarya
5.0,M,2018,Abdoul-Aziz
10.0,F,2018,Aimée
10.0,M,2018,Albin
7.0,F,2018,Angèle
5.0,M,2018,Anir
11.0,F,2018,Asma
8.0,F,2018,Audrey
25.0,F,2018,Awa
7.0,M,2018,Benoît
23.0,F,2018,Castille
48.0,F,2018,Constance
15.0,F,2018,Dania
5.0,F,2018,Eve
21.0,F,2018,Fatou
33.0,M,2018,Hamza
6.0,M,2018,Hussein
39.0,M,2018,Imran
16.0,F,2018,Janna
6.0,M,2018,Jean-Baptiste
5.0,F,2018,Jessie
9.0,F,2018,Layane
77.0,F,2018,Léonie
30.0,F,2018,Lola
9.0,M,2018,Lukas
30.0,M,2018,Mamadou
16.0,F,2018,Marianne
6.0,M,2018,Mark
7.0,M,2018,Matei
18.0,M,2018,Mathieu
12.0,M,2018,Matthias
12.0,M,2018,Mayeul
6.0,M,2018,Meyron
9.0,M,2018,Mylan
7.0,M,2018,Nabil
11.0,M,2018,Nassim
146.0,M,2018,Oscar
6.0,M,2018,Paulin
15.0,F,2018,Rita
5.0,M,2018,Robinson
30.0,M,2018,Roméo
8.0,M,2018,Sébastien
23.0,F,2018,Selma
12.0,F,2018,Tara
6.0,M,2018,Theodore
206.0,M,2018,Victor
9.0,M,2018,Vladimir
10.0,F,2018,Yuna
282.0,M,2019,Arthur
157.0,M,2019,Alexandre
124.0,F,2019,Nina
114.0,F,2019,Victoire
76.0,M,2019,Thomas
66.0,F,2019,Céleste
60.0,M,2019,Ayden
60.0,M,2019,Eden
52.0,M,2019,Robin
36.0,F,2019,Albane
36.0,F,2019,Blanche
36.0,F,2019,Daphné
33.0,F,2019,Assia
30.0,M,2019,Noa
29.0,F,2019,Faustine
28.0,F,2019,Louisa
25.0,M,2019,Roman
25.0,F,2019,Billie
23.0,M,2019,Jacob
23.0,M,2019,Marc
23.0,M,2019,Théophile
22.0,M,2019,Thibault
20.0,F,2019,Oumou
20.0,F,2019,Stella
17.0,M,2019,Swann
17.0,F,2019,Mona
16.0,M,2019,Mahamadou
16.0,F,2019,Dania
12.0,M,2019,Sekou
12.0,F,2019,Leila
11.0,M,2019,Mouhamadou
11.0,F,2019,Halima
10.0,M,2019,Mathieu
10.0,F,2019,Layana
9.0,M,2019,Ewen
9.0,M,2019,Guillaume
8.0,M,2019,Bilel
8.0,M,2019,Emilio
7.0,F,2006,Angélina
5.0,M,2006,Antonio
95.0,M,2006,Axel
8.0,F,2006,Bettina
7.0,F,2006,Brune
7.0,M,2006,Calixte
66.0,F,2006,Capucine
11.0,F,2006,Cécilia
13.0,F,2006,Charline
13.0,M,2006,Cheick
5.0,M,2006,Demba
9.0,M,2006,Denis
7.0,F,2006,Dora
42.0,F,2006,Eden
34.0,F,2006,Fanny
6.0,F,2006,Fantine
64.0,M,2006,Guillaume
8.0,M,2006,Idrissa
13.0,F,2006,Ilana
8.0,F,2006,Iliana
17.0,M,2006,Jacques
5.0,F,2006,Jenny
9.0,F,2006,Joyce
5.0,M,2006,Junior
18.0,M,2006,Karim
6.0,M,2006,Kenny
42.0,M,2006,Kylian
7.0,F,2006,Lauriane
5.0,F,2006,Leila
7.0,F,2006,Léopoldine
28.0,F,2006,Lili
32.0,F,2006,Lily
247.0,M,2006,Louis
26.0,M,2006,Lucien
60.0,F,2006,Luna
155.0,F,2006,Manon
10.0,F,2006,Mariama
5.0,M,2006,Marlon
7.0,M,2006,Matisse
10.0,F,2006,Perrine
140.0,M,2006,Rayan
5.0,M,2006,Réphaël
232.0,F,2006,Sarah
5.0,F,2006,Stéphanie
8.0,F,2006,Thelma
35.0,M,2006,Théophile
11.0,M,2006,Thibaud
20.0,F,2006,Tiphaine
9.0,M,2006,Warren
5.0,M,2006,Yoni
5.0,M,2006,Yves
8.0,M,2007,Abdelkader
28.0,M,2007,Abel
11.0,F,2007,Aline
30.0,M,2007,Anatole
5.0,M,2007,Antony
7.0,M,2007,Aristide
10.0,F,2007,Assa
22.0,M,2007,Auguste
6.0,M,2007,Aylan
18.0,F,2007,Bianca
11.0,F,2007,Brune
11.0,M,2007,Cameron
7.0,F,2007,Carmen
7.0,M,2007,Chris
9.0,M,2007,Clarence
8.0,M,2007,Demba
5.0,M,2007,Deniz
43.0,M,2007,Edouard
29.0,F,2007,Ella
5.0,F,2007,Émeline
5.0,F,2007,Emmy
6.0,F,2007,Énora
9.0,M,2007,Éric
8.0,M,2007,Gaëtan
5.0,F,2007,Grâce
5.0,M,2007,Grégory
21.0,F,2007,Hannah
14.0,M,2007,Ilhan
28.0,M,2007,Ilian
6.0,M,2007,Isidore
14.0,M,2007,Joachim
6.0,M,2007,Joey
6.0,M,2007,Kelvin
19.0,F,2007,Lana
5.0,F,2007,Lauryn
38.0,M,2007,Lenny
17.0,M,2007,Lilian
12.0,F,2007,Linda
6.0,M,2007,Lohan
18.0,F,2007,Louison
214.0,M,2007,Lucas
8.0,F,2007,Maeva
6.0,F,2007,Maëva
11.0,M,2007,Malik
15.0,M,2007,Mickaël
10.0,M,2007,Miguel
5.0,M,2007,Néo
8.0,M,2007,Noha
5.0,F,2007,Ondine
7.0,M,2007,Paulin
6.0,F,2007,Ranya
14.0,M,2007,Richard
7.0,M,2007,Riyad
18.0,F,2007,Sabrina
165.0,M,2007,Sacha
5.0,F,2007,Safia
24.0,M,2007,Sami
9.0,F,2007,Serena
62.0,F,2007,Sofia
5.0,F,2007,Taly
5.0,M,2007,Tomas
7.0,F,2007,Wendy
31.0,M,2007,Youssef
5.0,F,2008,Aaliyah
24.0,F,2008,Albane
259.0,M,2008,Alexandre
136.0,F,2008,Alice
19.0,F,2008,Amira
12.0,F,2008,Anaelle
23.0,F,2008,Astrid
6.0,M,2008,Aubin
22.0,F,2008,Audrey
7.0,F,2008,Camila
37.0,F,2008,Carla
6.0,F,2008,Célestine
5.0,F,2008,Celina
5.0,F,2008,Cheyenne
40.0,F,2008,Claire
9.0,M,2008,Cyril
5.0,M,2008,Damian
35.0,F,2008,Daphné
29.0,M,2008,Elliot
9.0,F,2008,Emilia
10.0,F,2008,Emmanuelle
9.0,F,2008,Feriel
7.0,M,2008,Filip
11.0,M,2008,Frédéric
6.0,F,2008,Grâce
24.0,F,2008,Hortense
5.0,M,2008,Ianis
48.0,M,2008,Ibrahim
40.0,M,2008,Ilyes
226.0,F,2008,Inès
18.0,F,2008,Isabelle
11.0,M,2008,Issam
12.0,M,2008,Ivan
5.0,F,2008,Jane
21.0,M,2008,Julian
6.0,M,2008,Kilyan
37.0,M,2008,Kylian
7.0,M,2008,Leny
6.0,F,2008,Léopoldine
30.0,F,2008,Lise
48.0,M,2008,Luca
17.0,M,2008,Mahamadou
48.0,M,2008,Matthieu
5.0,M,2008,Merwan
14.0,M,2008,Michel
5.0,M,2008,Nazim
5.0,F,2008,Noha
109.0,F,2008,Pauline
5.0,M,2008,Philéas
12.0,M,2008,Pierre-Louis
27.0,F,2008,Rachel
30.0,M,2008,Rayane
5.0,M,2008,Reda
16.0,F,2008,Sabrina
6.0,F,2008,Shaïna
15.0,F,2008,Sidonie
22.0,F,2008,Solène
48.0,F,2008,Suzanne
9.0,M,2008,Tidiane
8.0,M,2008,Vianney
11.0,M,2008,Wael
7.0,M,2008,Warren
10.0,F,2008,Wendy
13.0,M,2008,Xavier
7.0,F,2008,Ysée
76.0,M,2009,Aaron
5.0,M,2009,Abdoul
8.0,F,2009,Adama
6.0,M,2009,Ahmad
40.0,F,2009,Aïcha
5.0,M,2009,Alessio
7.0,M,2009,Alfred
7.0,F,2009,Ambrine
10.0,F,2009,Anastasia
15.0,F,2009,Anya
93.0,M,2009,Baptiste
34.0,F,2009,Blanche
59.0,F,2009,Capucine
8.0,F,2009,Célestine
5.0,F,2009,Charlize
11.0,F,2009,Cléa
9.0,F,2009,Clothilde
5.0,M,2009,Corto
7.0,F,2009,Cyrine
6.0,F,2009,Éléa
52.0,F,2009,Eléonore
88.0,F,2009,Elise
17.0,M,2009,Ewen
28.0,M,2009,François
35.0,M,2009,Hamza
5.0,F,2009,Haya
6.0,M,2009,Idan
6.0,F,2009,Isée
12.0,M,2009,Jad
5.0,F,2009,Kamélia
17.0,M,2009,Karl
6.0,F,2009,Kawtar
9.0,F,2009,Keren
11.0,M,2009,Kévin
7.0,M,2009,Laurent
8.0,M,2009,Leonardo
6.0,M,2009,Loïs
10.0,M,2009,Louka
7.0,F,2009,Maïwenn
10.0,F,2009,Maryam
6.0,M,2009,Mateja
37.0,M,2009,Matteo
6.0,F,2009,Maxence
7.0,F,2009,Mayane
14.0,M,2009,Mayeul
18.0,M,2009,Melvil
6.0,M,2009,Mickael
30.0,M,2009,Milan
9.0,F,2009,Nathalie
12.0,M,2009,Nolann
39.0,F,2009,Nora
16.0,M,2009,Raphael
119.0,M,2009,Rayan
5.0,M,2009,Roland
88.0,F,2009,Romane
21.0,F,2009,Sacha
11.0,M,2009,Selyan
6.0,F,2009,Shaïly
7.0,F,2009,Solange
27.0,M,2009,Stanislas
9.0,M,2009,Ugo
78.0,F,2009,Victoire
8.0,M,2009,Wandrille
5.0,M,2009,Yaïr
120.0,M,2009,Yanis
24.0,M,2009,Younes
5.0,M,2010,Abdel
8.0,F,2010,Abigaël
6.0,M,2010,Adame
13.0,M,2004,Alban
5.0,F,2004,Alison
5.0,F,2004,Alizée
18.0,F,2004,Amira
17.0,M,2004,Andy
63.0,F,2004,Apolline
5.0,M,2004,Ary
5.0,M,2004,Baudouin
10.0,M,2004,Bilel
5.0,F,2004,Calista
6.0,F,2004,Camelia
7.0,M,2004,Chaï
12.0,M,2004,Christian
51.0,F,2004,Clémentine
22.0,M,2004,Djibril
52.0,M,2004,Eliott
138.0,F,2004,Eva
17.0,F,2004,Fanta
17.0,F,2004,Farah
8.0,F,2004,Félicie
19.0,F,2004,Fleur
16.0,M,2004,Franck
253.0,M,2004,Gabriel
9.0,M,2004,Giovanni
10.0,M,2004,Grégory
6.0,M,2004,Guy
6.0,M,2004,Harold
6.0,M,2004,Iban
20.0,F,2004,Selma
6.0,F,2004,Sharon
59.0,F,2004,Shirel
288.0,M,2004,Thomas
15.0,M,2004,Vadim
7.0,M,2004,Wilson
15.0,M,2004,Yannis
6.0,M,2004,Younès
6.0,M,2005,Alon
6.0,M,2005,Amara
25.0,F,2005,Ana
8.0,F,2005,Angélina
5.0,F,2005,Anne-Sophie
10.0,F,2005,Auriane
13.0,M,2005,Ayman
139.0,M,2005,Baptiste
9.0,F,2005,Cléo
8.0,F,2005,Dalia
6.0,F,2005,Djénéba
10.0,F,2005,Elisabeth
33.0,M,2005,Emmanuel
8.0,F,2005,Emmy
9.0,F,2005,Eulalie
21.0,F,2005,Fanta
119.0,M,2005,Gaspard
13.0,M,2005,Georges
11.0,F,2005,Hana
37.0,M,2005,Hector
17.0,M,2005,Ilyes
10.0,F,2005,Isis
38.0,M,2005,Ismaël
9.0,M,2005,Jason
6.0,M,2005,Joan
64.0,F,2005,Justine
12.0,F,2005,Kahina
6.0,F,2005,Karen
5.0,F,2005,Karima
14.0,M,2005,Kilian
20.0,M,2005,Kylian
15.0,F,2005,Lilas
5.0,M,2005,Louison
6.0,F,2005,Lynn
6.0,F,2005,Mahé
5.0,M,2005,Manuel
7.0,M,2005,Marouane
126.0,M,2005,Mathis
90.0,M,2005,Matthieu
8.0,M,2005,Mayeul
13.0,M,2005,Melvin
10.0,M,2005,Michel
7.0,M,2005,Moustapha
6.0,F,2005,Noor
7.0,M,2005,Oren
7.0,M,2005,Pierre-Antoine
7.0,M,2005,Rodrigue
21.0,M,2005,Roméo
5.0,M,2005,Tancrède
11.0,M,2005,Tanguy
5.0,M,2005,Tao
24.0,F,2005,Thaïs
7.0,F,2005,Thelma
226.0,M,2005,Thomas
45.0,M,2005,Titouan
7.0,M,2005,Tobias
6.0,M,2005,Yacouba
45.0,M,2005,Yann
7.0,M,2005,Yaya
16.0,M,2005,Yohan
42.0,M,2006,Achille
6.0,M,2006,Alain
5.0,M,2006,Alvin
5.0,F,2006,Amanda
10.0,F,2004,Irina
5.0,F,2004,Isis
8.0,M,2004,Jarod
21.0,M,2004,Jérémie
13.0,M,2004,Joachim
10.0,M,2004,John
39.0,M,2004,Jonathan
6.0,M,2004,Josh
167.0,F,2004,Juliette
5.0,M,2004,Kenan
58.0,M,2004,Kevin
5.0,F,2004,Khadidja
25.0,M,2004,Kylian
5.0,M,2004,Leonardo
5.0,F,2004,Livia
73.0,F,2004,Lola
5.0,F,2004,Lorette
29.0,F,2004,Louna
5.0,M,2004,Marcel
5.0,F,2004,Maryline
14.0,M,2004,Mateo
11.0,M,2004,Merlin
37.0,M,2004,Moussa
14.0,F,2004,Natacha
13.0,F,2004,Nawel
10.0,F,2004,Olga
6.0,M,2004,Oren
6.0,M,2004,Oussama
6.0,M,2004,Paco
7.0,M,2004,Rafaël
6.0,M,2004,Ramy
21.0,F,2004,Rebecca
32.0,M,2004,Roman
31.0,F,2004,Sabrina
8.0,F,2004,Salimata
12.0,F,2010,Angèle
161.0,F,2010,Anna
18.0,F,2010,Asma
20.0,F,2010,Brune
8.0,M,2010,Bruno
11.0,F,2010,Camila
5.0,F,2010,Celeste
36.0,F,2010,Claire
6.0,F,2010,Cléa
17.0,F,2010,Dounia
8.0,M,2010,Eden
6.0,F,2010,Ely
18.0,F,2010,Emmy
6.0,M,2010,Firas
13.0,F,2010,Gabriela
16.0,M,2010,Georges
26.0,M,2010,Grégoire
6.0,M,2010,Hélie
9.0,F,2010,Hiba
46.0,M,2010,Isaac
5.0,M,2010,Jacob
8.0,M,2010,Jimmy
5.0,M,2010,Joris
85.0,F,2010,Julia
7.0,F,2010,Lahna
5.0,F,2010,Lauren
17.0,M,2010,Léandre
11.0,F,2010,Léane
6.0,F,2010,Leyna
37.0,F,2010,Lise
22.0,F,2010,Liv
10.0,F,2010,Loane
5.0,F,2010,Louanne
7.0,M,2010,Loup
6.0,M,2010,Luan
106.0,F,2010,Lucie
7.0,M,2010,Luke
7.0,F,2010,Lylia
29.0,F,2010,Lyna
7.0,M,2010,Macéo
25.0,F,2010,Maïssa
5.0,F,2010,Maja
6.0,M,2010,Maksim
31.0,M,2010,Malo
39.0,M,2010,Marc
84.0,F,2010,Maya
12.0,F,2010,Méline
6.0,F,2010,Mya
22.0,F,2010,Naomie
14.0,F,2010,Nell
8.0,M,2010,Nelson
8.0,M,2010,Nizar
26.0,F,2010,Raphaëlle
7.0,M,2010,Riad
71.0,F,2010,Salomé
14.0,M,2010,Sandro
5.0,F,2010,Séléna
13.0,F,2010,Shirel
6.0,F,2010,Tasnime
11.0,M,2010,Warren
6.0,M,2011,Adame
6.0,M,2011,Alexander
10.0,F,2011,Amelia
8.0,M,2011,Anselme
6.0,M,2011,Arman
7.0,M,2011,Artus
37.0,M,2011,Basile
7.0,M,2011,Ben
19.0,F,2011,Bianca
13.0,M,2011,Boubacar
9.0,F,2011,Celia
33.0,M,2011,César
12.0,M,2011,Charly
109.0,F,2011,Clémence
10.0,M,2011,Cyprien
5.0,F,2011,Dalla
14.0,F,2011,Diana
25.0,F,2011,Dina
42.0,M,2011,Elie
18.0,F,2011,Emmy
28.0,M,2011,Erwan
28.0,F,2011,Eve
14.0,M,2011,Ewan
12.0,F,2011,Félicie
5.0,F,2011,Gaëlle
53.0,F,2011,Garance
46.0,M,2011,Gustave
40.0,M,2011,Hadrien
88.0,F,2011,Héloïse
24.0,M,2011,Ibrahima
8.0,M,2011,Jean-Baptiste
7.0,M,2011,Jeremy
32.0,M,2011,Joachim
8.0,M,2011,Joan
5.0,F,2011,Juliana
7.0,F,2011,Kadiatou
5.0,M,2011,Kenzi
7.0,M,2011,Khalil
5.0,M,2011,Kim
5.0,F,2011,Liana
42.0,F,2011,Lila
54.0,F,2011,Lily
5.0,F,2011,Loïse
29.0,M,2011,Lorenzo
109.0,F,2011,Lucie
25.0,F,2011,Maïssa
7.0,M,2011,Marko
27.0,F,2011,Maryam
7.0,M,2011,Mohamed-Amine
13.0,F,2011,Mona
36.0,F,2011,Myriam
10.0,F,2011,Neïla
7.0,F,2011,Nelly
9.0,M,2011,Nolhan
7.0,F,2011,Olympe
23.0,F,2011,Oumou
22.0,M,2011,Roméo
6.0,F,2011,Rosa
35.0,F,2011,Roxane
6.0,M,2011,Saad
8.0,M,2011,Samba
45.0,F,2011,Sasha
5.0,F,2011,Tanya
14.0,F,2011,Thelma
5.0,M,2011,Théophane
5.0,F,2011,Tiana
6.0,F,2020,Johanna
6.0,F,2020,Khadidja
6.0,F,2020,Lucy
5.0,M,2020,Aliou
5.0,M,2020,Hamidou
5.0,M,2020,Lukas
5.0,M,2020,Priam
5.0,F,2020,Alizée
5.0,F,2020,Camilla
5.0,F,2020,Malaïka
5.0,F,2020,Rayhana
5.0,F,2020,Zohra
138.0,F,2021,Jeanne
134.0,M,2021,Alexandre
124.0,F,2021,Ava
